uuid,vin,make,model,mileage,price,creation_date,update_date,cositas,zip_code
b6cee8de-21f7-45ca-b936-71ccf469ed86,2T1KE4EE8BC458271,Porsche,Boxster,39,549317196.49,10/25/2020,9/18/2020,11/24/2020,49967-134
18171ee4-e91d-4201-b9b3-9bfa8c9b0ef0,WBAHN83577D858916,Aston Martin,DB9,40,77012159.48,2/2/2021,3/17/2021,9/30/2020,68788-9012
b69c7f04-d313-453d-a5ac-950acea55acb,WAUDG68E45A928926,Infiniti,QX,41,385001705.11,6/7/2020,8/11/2020,4/24/2020,67544-510
8241cca8-fc67-4087-ba38-501f5adef30b,WA1DGAFP8FA088378,Buick,LeSabre,42,45011364.89,6/3/2020,3/1/2021,2/12/2021,30142-416
e044578c-0607-4cb1-a924-54e8fb0aea28,1N4AL2AP8AN782979,BMW,Z4,43,243388901.44,10/2/2020,8/11/2020,1/22/2021,42283-001
563ad851-7284-499d-8ff6-9277f44f19bb,WAULC68E64A481537,Mitsubishi,Mirage,44,764027201.49,4/23/2020,11/25/2020,3/31/2021,49349-848
2537c28d-7cd5-4632-853a-b96378dc27a4,2C4RDGEGXDR399926,Chrysler,Crossfire,45,609621838.64,2/11/2021,10/21/2020,7/7/2020,64679-172
2e02b65b-18d2-437f-af6b-e2510319da24,1GYS3FEJ6BR162440,Cadillac,Sixty Special,46,632979363.47,10/18/2020,12/15/2020,12/26/2020,21695-340
f151310e-1908-4fab-b028-1abb3c56cc4c,WBAWB73539P230248,Lincoln,Blackwood,47,813318758.71,12/20/2020,2/27/2021,6/12/2020,68405-070
b0792a72-54a4-47f1-bbc5-3fbcfe343231,YV1902AH1C1153096,Pontiac,G6,48,366993838.44,2/10/2021,1/7/2021,6/20/2020,68169-0013
e654d34c-d6d3-4b23-af5e-65016397cf73,2HNYB1H49CH564797,Mazda,929,49,348307354.3,9/30/2020,4/18/2020,3/18/2021,89156-000
26dc96e0-3c41-475a-a856-059c3d4bb1ce,3D4PH6FV9AT732681,Infiniti,IPL G,50,101625374.5,1/25/2021,5/17/2020,5/19/2020,33261-860
dc673a3c-0ebb-4a20-a64c-71b9d7c4352b,1N6AF0LX3FN519354,Toyota,Land Cruiser,51,594631735.31,2/8/2021,1/12/2021,11/14/2020,59667-0098
4baf74f9-08f8-4392-8c8e-4eb466782100,1G6YV34A345829553,Volvo,C30,52,299435234.2,5/29/2020,6/23/2020,7/19/2020,64117-209
dcde6000-4e9d-40bf-bcfa-c38c3f224197,WA1LMAFE3CD140528,Mitsubishi,Mirage,53,774733766.61,3/15/2021,4/20/2020,11/11/2020,0884-1706
a47dfed5-9e49-4d0f-9975-94c23bd6de8b,1D4PT6GX0BW064294,Toyota,Corolla,54,77413889.84,8/17/2020,1/15/2021,10/14/2020,55154-5455
cea4f385-c87c-405c-b6b2-11cc3a94f686,JTDBT4K35B4920569,Ford,Escort,55,32461136.16,12/13/2020,3/14/2021,6/8/2020,54868-5982
39510f5b-0d15-47a5-8ca3-887acb83f666,1N6AA0ED5FN910331,Suzuki,Grand Vitara,56,893653677.2,9/8/2020,11/8/2020,7/9/2020,51386-706
91fee8ba-0702-436e-9804-0544c872c7b3,YV1672MK9C2322779,Land Rover,Freelander,57,347356665.14,8/19/2020,2/11/2021,11/10/2020,10956-788
7e20639f-cac6-4786-932d-fed2312795a3,WP0AA2A86CS816480,Mazda,Mazda3,58,399661965.45,12/19/2020,5/4/2020,2/23/2021,68084-692
6777e4c9-7877-4ed7-914f-96dae78cbd69,5GAEV13708J437641,Pontiac,Solstice,59,873064626.32,1/27/2021,11/23/2020,7/29/2020,21695-633
846e4216-5415-42b4-af1c-82917fedfd6c,JTDKTUD31ED635787,Ford,Flex,60,22078439.91,3/7/2021,7/28/2020,6/1/2020,58232-0514
a34218a2-a965-47eb-bc0b-f0aeb93eae11,1FTEW1C88AF639878,Mercedes-Benz,E-Class,61,125545416.0,4/26/2020,1/7/2021,7/26/2020,67345-0513
01fd7bde-f6a8-4757-82fa-e603d4d0f980,WBABW334X6P378329,Lexus,SC,62,596032223.59,5/23/2020,7/7/2020,11/4/2020,30142-143
42e1d1ec-8b20-404d-b409-836f018b5d35,WAUFGAFB8AN472467,Chevrolet,Impala,63,600476917.56,10/4/2020,1/14/2021,11/23/2020,64942-1164
465c69d3-eb63-48d2-8e9f-8f58cb538383,WBAVC73537A352309,Chevrolet,S10,64,360855377.21,8/2/2020,8/4/2020,9/28/2020,67659-082
5d016dff-07a1-41ef-a5fc-0bea745a31c6,1G6AC1R31F0969400,Mazda,Mazdaspeed6,65,908908026.63,2/8/2021,5/12/2020,8/21/2020,49035-133
efe6b8e0-2642-420c-a11c-872c7a4b1054,WAUSF98E98A073530,Acura,Integra,66,227948547.69,9/29/2020,10/24/2020,3/4/2021,0378-2659
e1bd863e-4e2a-4c6e-99bc-05fae89a231b,1G6DC5EG1A0498239,Toyota,Tacoma,67,186130834.04,10/14/2020,8/11/2020,12/24/2020,0378-2120
24ec154e-fc6b-4e74-82e5-b2c524f918db,1FBAX2CM7FK680911,Saturn,Relay,68,827598834.33,7/15/2020,3/10/2021,6/7/2020,54868-5195
a10e4f91-ac3c-4eaa-99f3-6dd2b2089b62,WAULFAFH3DN044109,Isuzu,Hombre,69,43803946.6,4/13/2021,6/19/2020,1/30/2021,10812-238
caf55fae-28d0-430b-9fdd-c45854510bbb,JTDBT4K32B1336163,Chevrolet,G-Series 1500,70,416527945.33,7/31/2020,2/23/2021,6/12/2020,54868-6243
bf6d25b8-81ae-4dcc-baa9-ef70d62f7f2e,SALVP2BG1FH653379,Mercedes-Benz,SLK-Class,71,646690730.28,2/27/2021,4/26/2020,6/9/2020,65162-415
f9c5caa6-d498-4111-9b70-6f2bd260edfa,WBAWV1C57AP381179,Lotus,Elise,72,697089594.54,11/26/2020,8/21/2020,1/29/2021,67938-0904
d7983d81-eb6a-456b-a938-facc3c2459c5,19UUA65505A223017,GMC,Sonoma,73,130273166.84,3/16/2021,8/1/2020,9/10/2020,48951-1198
66668fc2-cc14-4d3c-831f-8e823261d143,4T1BK1EB8EU385127,Daewoo,Leganza,74,841323947.32,6/10/2020,12/20/2020,12/14/2020,62085-1001
1b82cda6-1c4f-4b69-be8b-9fab50ca1107,2HNYB1H61CH964774,Volvo,V50,75,101102281.1,2/9/2021,8/2/2020,4/4/2021,52125-807
6304bf1d-acbe-4b95-925f-d9c6ed382a98,1G6AR5S3XF0682170,Mercedes-Benz,E-Class,76,246529186.3,2/18/2021,9/30/2020,2/13/2021,55150-125
f02657c0-d993-4e99-9c88-d789a3558f2f,1N6AA0CH7DN442699,Mazda,B-Series,77,687776310.22,8/24/2020,9/12/2020,8/26/2020,52533-214
3c388e26-6e8b-4880-9f59-9a794764080a,JM3TB2BA0B0497361,Audi,S6,78,483965206.22,1/31/2021,7/28/2020,6/25/2020,68400-112
7441449f-7cba-4177-b39c-34ddfe508770,2C3CCARG3EH606328,Dodge,Ram 1500,79,955215736.41,5/4/2020,6/18/2020,5/19/2020,11084-040
f2201002-3eea-497b-937e-7d569f8e9390,WVGAV7AX9BW395981,Mazda,Familia,80,759605520.86,12/22/2020,3/28/2021,5/17/2020,76439-141
e5992980-6f86-44e4-9e6a-2511c1561b85,3D73M3HL0BG223371,BMW,6 Series,81,293866844.17,3/8/2021,3/28/2021,6/21/2020,51346-060
015f9eac-6586-4559-9d49-1d86271359ca,WBAVB17556N493691,Mercedes-Benz,CLS-Class,82,429387254.59,7/30/2020,1/29/2021,3/8/2021,67296-0466
3fc320fd-d181-412f-9dd5-f049cd70da99,WBA5A5C59FD751698,Dodge,Grand Caravan,83,602051185.42,10/18/2020,4/16/2021,10/19/2020,57349-913
0b242c84-b022-496b-bcc5-8cf85ad60de4,WP0CA2A80ES562549,Toyota,Venza,84,159343216.2,12/19/2020,11/18/2020,3/27/2021,0065-0275
dc53c492-10a4-42e7-876e-7a88f51e82bd,YV4902NC3F1483554,Oldsmobile,88,85,630273181.97,1/22/2021,5/1/2020,12/4/2020,41250-829
393ea70a-afc8-4a1a-b22e-b9541099bff7,5TDBM5G13BS333396,Ram,2500,86,694325496.49,12/15/2020,10/23/2020,12/28/2020,54838-130
465dee69-bc51-4285-a713-d0abdb741668,JN8AS5MT5AW126910,GMC,Safari,87,349895710.09,1/13/2021,10/27/2020,12/14/2020,60505-3673
e08a82c5-db45-46e3-8463-a864c0b56699,WAUMFAFL9AN360120,Subaru,Forester,88,260034031.16,10/28/2020,7/2/2020,1/14/2021,59667-0102
6a2c43df-5565-4f30-9656-bae11f056f3e,3GYFK66N96G110473,Maserati,Spyder,89,20048796.97,6/10/2020,3/29/2021,9/3/2020,37205-742
db0d59a0-c976-477b-95ab-48f8d04a2997,1G6KH5E62BU200534,Pontiac,Grand Am,90,211790583.41,6/22/2020,11/16/2020,7/3/2020,49035-348
47a56551-21dc-47f2-9364-b8ad947499bd,1C4NJPBA5ED447019,Toyota,Tundra,91,118262573.03,11/29/2020,12/27/2020,10/8/2020,64455-994
de444a17-505d-4dbc-915c-a7b34d9c4e12,3C3CFFJH8ET749260,Mazda,Protege,92,785541640.07,11/4/2020,3/25/2021,12/31/2020,16853-1305
f4e133a1-6dec-432d-b103-84e2fa34d465,1GKS1CE00ER087924,Ford,Bronco,93,44686310.57,9/10/2020,4/22/2020,12/5/2020,54868-2133
8a7cc186-8ceb-4c19-91f7-b98d8df8c7c8,WAUSF78K99A674366,Toyota,Avalon,94,480944829.84,10/21/2020,11/15/2020,12/5/2020,43742-0103
7a8689ae-6be8-4f8c-b0f8-525d6ed2cd61,JM3TB2BA7C0455402,Mercedes-Benz,600SL,95,799860665.25,1/22/2021,10/4/2020,3/24/2021,67457-510
ea32ff59-85da-4d24-8034-be8e7ebbec02,WBA3C3C50FP862080,Bentley,Continental GTC,96,909985464.52,12/18/2020,6/13/2020,5/17/2020,21695-836
eee47b76-3536-44f2-ae66-55bc59c98909,5J6TF2H58EL796584,Oldsmobile,LSS,97,462503018.16,5/1/2020,1/27/2021,2/3/2021,36987-1894
2929790f-b1ca-43dd-a07e-d276099690e9,WBA3R1C58FF131101,GMC,Sierra 1500,98,607024989.19,10/14/2020,3/6/2021,3/26/2021,47219-201
9724524b-eef6-4e90-af99-f05d7fc448f8,1G4HR54K834834897,Morgan,Aero 8,99,323144228.66,6/23/2020,9/26/2020,6/22/2020,10742-8342
e2a602c8-ac83-4a35-aaa1-6a02ef785eab,1D7CE5GK1AS751977,Lexus,LX,100,243534578.86,12/9/2020,7/15/2020,3/23/2021,51346-092
23505e69-cb88-4626-8b8e-fcdd49251a61,WAURD68D52A079651,Ford,Escape,101,834961805.24,1/28/2021,3/20/2021,2/18/2021,68428-127
94838a65-6d93-49f4-9527-590f758b4484,19UUA56932A369046,Isuzu,Ascender,102,55576890.09,1/27/2021,1/22/2021,9/15/2020,25373-703
f31f3d92-b07f-4f80-9bb9-4b56dc9a8dc7,5J8TB18279A817543,Infiniti,Q,103,254309365.19,10/23/2020,7/8/2020,8/17/2020,59779-692
7e997610-d3f5-4464-a7e1-00ef2d569fd6,SALAB2V61FA524003,Toyota,4Runner,104,964342505.04,4/8/2021,7/6/2020,3/19/2021,0067-4000
f1d788f5-63de-4954-a32e-33c61ffb2853,JH4DC54862C040170,Ford,F350,105,796460016.79,5/5/2020,11/1/2020,2/23/2021,49349-518
2cbac06c-ecb1-43f6-abf1-00b54b012c05,WAUFGBFC2DN470099,Mercedes-Benz,M-Class,106,44329750.39,6/20/2020,7/14/2020,4/11/2021,10191-1461
31b7becb-30bd-475b-851b-24ba079c526f,JTDKTUD3XDD915982,Toyota,Land Cruiser,107,682128400.95,2/3/2021,4/28/2020,8/12/2020,76144-000
abace820-7264-49e8-be76-d989724e2836,4A31K5DF0CE101294,Volvo,C70,108,326256809.0,8/14/2020,5/14/2020,12/31/2020,57520-0391
7dc19c82-9174-4978-9f29-af1c8d6425cd,WAURV78T88A650567,Aston Martin,DB9,109,323360365.99,12/21/2020,9/13/2020,6/3/2020,37808-648
318e8c8e-a9c3-4d6f-8d82-66a76c7200a3,SCFFDABM8DG925614,Mercedes-Benz,CLK-Class,110,445969972.33,9/18/2020,7/6/2020,7/28/2020,36987-3208
ade44475-af5b-404c-b83e-e99616ba7c31,YV1902FH9D2753286,Mitsubishi,Montero,111,579215939.56,4/10/2021,12/2/2020,12/7/2020,49349-043
ac76d93e-3a4e-4cd8-a797-a6395a5b8b9e,KM8JT3AC1AU421429,Chevrolet,Avalanche 1500,112,878591323.82,10/25/2020,10/5/2020,6/14/2020,0378-0137
f4adbfa6-0f9e-47c3-9375-bbc5fe93478b,5J6TF1H55DL018610,Toyota,RAV4,113,741654059.42,11/16/2020,1/2/2021,2/28/2021,55154-3476
c739cb3b-2c7e-497c-a874-5f957350b2e3,1G6AD5SX4D0296990,Toyota,Corolla,114,638220796.62,9/16/2020,12/24/2020,8/8/2020,0268-1232
6763b465-7dce-4057-a95e-7500f1c3d2da,1G6DP8E37C0260837,Lotus,Esprit,115,454506005.56,9/24/2020,7/6/2020,2/21/2021,51079-216
8ac4e5d6-8839-4900-bf13-bff568752260,WVGEG9BP0CD602339,Mercury,Grand Marquis,116,873561573.71,1/4/2021,8/14/2020,7/13/2020,76204-003
0189fbe3-7284-42c2-bfa6-11c86f99c269,WBASN2C56BC369439,Honda,Fit,117,118351063.04,3/29/2021,5/10/2020,3/8/2021,48951-8223
335fa4c9-26c1-444f-a9ad-554a74cad685,WBA6B4C51ED516786,Volkswagen,CC,118,904483526.95,11/10/2020,9/14/2020,3/28/2021,52125-999
068a848f-d01c-41e5-ae6a-2df8078c5156,4USBU53547L514731,Acura,RSX,119,445605704.18,1/10/2021,2/24/2021,2/13/2021,0078-0182
13360f3e-5bea-4d9e-af11-1b52e44fdda0,WBAUL73589V626515,Ferrari,612 Scaglietti,120,345308056.23,2/14/2021,2/9/2021,6/20/2020,48883-002
e13fd74e-44db-44d8-8bcd-bc948f32e18e,WBALW7C50ED943594,Chevrolet,Camaro,121,151519531.43,4/12/2021,7/7/2020,2/26/2021,63941-019
3ff02ae7-3006-4821-bfc4-12b41b50e0f6,WP0AA2A81AU817070,Ford,Mustang,122,678665483.39,2/21/2021,2/5/2021,9/22/2020,44911-0119
7e61252e-ae29-447f-bc30-60f1df0bf23b,1C3CDFAA4DD699468,Ford,E350,123,405888588.65,2/26/2021,4/19/2020,10/22/2020,36987-1166
68ca72ec-9e6c-4612-9ace-200fa44057ef,JA32U2FU6EU146467,Buick,Reatta,124,236765026.44,2/13/2021,3/19/2021,12/9/2020,0268-0714
edbe8c88-d7a3-448b-92b9-4510d8c2eed8,SAJWA4EC3CM023725,Isuzu,Trooper,125,679929618.42,6/17/2020,12/12/2020,3/25/2021,59779-114
3dbcafc0-a4f9-4446-8d4f-c69f3f94a4f9,19UUA66275A212567,Ford,Expedition,126,510601438.87,12/12/2020,4/15/2021,6/21/2020,53808-0744
530c2a47-99cd-4304-8f24-dd4f52a086e2,1G6KD57Y77U474703,Kia,Sportage,127,716529083.17,8/1/2020,8/5/2020,4/21/2020,60681-1822
f399a419-3b71-4422-ae26-fee087192ada,1LNHL9DR7AG534334,Ferrari,612 Scaglietti,128,865655406.34,5/8/2020,6/30/2020,11/24/2020,63981-571
3bd22021-cddd-471a-9dcb-f92f9be43014,1G6DX67D260113923,Buick,Skylark,129,382085241.19,11/8/2020,4/4/2021,8/22/2020,0904-5857
39129d19-b265-4552-aa4c-795f63f94290,1GKS1FFJ8BR676000,Subaru,Legacy,130,203752961.46,1/31/2021,4/1/2021,10/1/2020,60681-5604
5ecd0991-5809-4ca9-baf8-84c6ec25d5ff,SCBBR9ZA6DC977651,Mitsubishi,Galant,131,374694306.61,8/2/2020,3/21/2021,7/10/2020,17089-387
228ef162-ff0d-427c-be9e-f14f29d55806,1FTEW1CM8BF779654,Lexus,RX Hybrid,132,914614380.01,5/14/2020,1/1/2021,8/7/2020,49527-749
ff9244ae-14f6-4c4f-b2dc-572f500f1f99,5UXZW0C54C0356371,Land Rover,Range Rover,133,125421258.56,5/5/2020,1/7/2021,12/18/2020,43353-289
ca99977d-ef10-4af6-b9e5-ec033af0e382,5YMGZ0C57CL580207,Mazda,MPV,134,653703800.31,2/27/2021,12/24/2020,2/22/2021,41520-873
5ce3199b-1948-4030-a056-b8837bfcf45b,WA1WMAFE2BD306954,Mitsubishi,Tredia,135,960109848.78,3/6/2021,2/14/2021,12/9/2020,21695-282
8df7a077-5be4-4c19-9f1d-949f974f0465,WAUSH78EX6A853130,Honda,Odyssey,136,813112911.46,11/6/2020,11/9/2020,7/1/2020,66336-843
4c023533-601f-4061-bf5b-7060d6e9fbac,WAU2GAFC5EN035765,Buick,Skylark,137,142603624.56,3/25/2021,7/11/2020,7/13/2020,41520-388
390c9fc4-9ad2-431e-8498-6a1cc04dc420,WAUDFBFLXAN003003,Toyota,Yaris,138,167436734.24,8/5/2020,5/29/2020,6/20/2020,53808-0374
bd9782e2-32a1-4703-8f64-8cdf1a5fc79e,WBABN334X2J195206,BMW,M3,139,488934380.43,8/24/2020,4/16/2021,7/1/2020,0615-4545
e26be469-f268-45fd-98b8-05596d23fe6f,JN8AF5MR5FT121787,Chrysler,Town & Country,140,485296373.29,12/25/2020,11/13/2020,6/25/2020,0641-6042
5447126f-a576-479e-b278-cc18655d24dd,WA1VMBFE9AD282779,Jaguar,XK,141,505219008.56,9/17/2020,4/29/2020,10/17/2020,42546-811
31931f51-9975-4435-a1d0-7becf36ea397,WVWAW7AH6BV643605,Pontiac,Firebird,142,749305094.83,1/11/2021,10/11/2020,8/19/2020,49967-006
7a53e6ee-38a6-4dde-8182-e8ceb5dc6c2e,1N6AD0CW3EN074593,Mercury,Topaz,143,189439617.91,6/7/2020,10/17/2020,4/23/2020,65862-079
8ad91f96-2b44-416c-8846-5bd4a3b20dcc,WA1VFAFL1DA223833,Jaguar,X-Type,144,742279882.98,3/27/2021,2/5/2021,4/17/2020,49348-992
510365a4-2f14-44de-aaf1-c5aa4212a5d3,JH4CL959X7C520620,Mazda,B-Series,145,431276949.83,5/5/2020,3/8/2021,9/4/2020,0591-3209
e749d2e8-b5d1-4dc5-a733-7c1def50f182,4USDU53557L516688,Lexus,CT,146,731196572.71,5/17/2020,11/18/2020,3/29/2021,49288-0425
54d1a531-aa10-4dd0-ae4d-a55d7b1321e1,WAUXL68E45A914730,Isuzu,i-280,147,646203947.99,2/20/2021,8/31/2020,12/8/2020,46122-408
60b4032a-dce4-4127-addd-8775a223fd12,1D7RW2GKXBS764301,Volvo,S60,148,574447935.38,5/30/2020,3/1/2021,7/11/2020,42507-145
7c9ba276-c999-499d-8e60-08e6158a8a64,JM1CW2BL8E0321306,Chevrolet,Silverado 3500,149,147501159.1,1/18/2021,9/29/2020,9/12/2020,55316-656
95ef313c-4919-43b8-ae41-ea817d9a5133,JTEBU5JR8F5216676,Jeep,Grand Cherokee,150,946751243.33,3/3/2021,12/27/2020,12/11/2020,47632-0003
75182801-764b-472b-8fd8-45eb62538903,3GTU1YEJ3DG490904,Mitsubishi,Lancer Evolution,151,886900382.08,11/19/2020,6/21/2020,11/26/2020,0069-4026
027b42e9-d2ff-446a-9b30-86d56107a49b,WAUMK78K69A558689,GMC,Sonoma,152,225960610.47,3/5/2021,5/16/2020,10/27/2020,53113-101
2a431908-47e9-4704-a3e6-111349618661,1HGCP2E70CA315813,Ford,Club Wagon,153,618585238.08,7/16/2020,8/11/2020,9/17/2020,42571-122
26635ec5-278e-43c0-88e0-12cb093109d9,WA1LMBFE8ED646056,Alfa Romeo,Spider,154,207481020.13,6/8/2020,3/31/2021,1/6/2021,35000-002
2a207fae-627a-463b-ab0e-80b94f50a06c,WAUPN94E59N402202,Volkswagen,Phaeton,155,746865611.6,12/31/2020,10/29/2020,4/28/2020,62175-571
7196f0bc-3096-460b-9f50-c2bc6a15fc18,WAUDL54F95N372173,GMC,Suburban 2500,156,232505120.47,7/22/2020,4/22/2020,9/20/2020,61957-0118
fe3a4470-c0f5-4a7e-aa14-eb08a23a8842,KNAGM4A75B5339278,Nissan,Murano,157,579229482.17,9/29/2020,4/3/2021,9/17/2020,41250-204
2a8fd98d-9f58-4178-896a-aae007b76c03,WA1BY74L48D043432,Suzuki,SJ,158,434896445.08,7/14/2020,9/20/2020,6/10/2020,68330-005
3a824e44-7639-4256-b5e1-bebb5f2b10a8,3GTU1YEJ8DG623785,Chevrolet,Tahoe,159,450029354.65,1/12/2021,9/2/2020,10/28/2020,44924-014
c6892409-ce31-4da5-b684-5c6843ac3783,2G4WF551831495852,Audi,S8,160,314360173.52,10/18/2020,6/17/2020,9/2/2020,0264-2202
7ae32ce4-0e05-4595-a8a2-7afc6f08ebbc,3C63D2GL3CG439102,Ford,F450,161,813858589.78,2/26/2021,4/20/2020,6/1/2020,11822-1434
24fcc4c6-a7fa-4e55-ab55-864125b09167,JH4CU4F45AC717477,Chevrolet,Cobalt SS,162,986852578.66,8/24/2020,5/14/2020,5/7/2020,54973-3109
87d081e9-956a-4339-bf70-6657a0f84eeb,5N1AL0MM1DC780888,Dodge,Nitro,163,405309832.57,7/3/2020,12/27/2020,8/2/2020,68016-078
